ID,V2,V5,V6,DrivingStyle
DR_24526,1265,10243,2,Normal
DR_30052,1680,30871,6,Normal
DR_40928,936,3224,4,Normal
DR_66033,1503,3315,4,Normal
DR_45266,929,3022,4,Normal
DR_40526,1280,8133,2,Normal
DR_48779,795,2013,3,Normal
DR_12920,942,5103,2,Normal
DR_28957,1482,15595,3,Aggressive
DR_20795,1674,16189,4,Normal
DR_63067,971,4849,4,Normal
DR_12428,581,2122,2,Normal
DR_27392,542,1184,2,Normal
DR_11729,554,1509,2,Vague
DR_23922,1687,19016,5,Vague
DR_22775,2058,17363,6,Aggressive
DR_63109,560,1743,2,Aggressive
DR_26365,938,1752,3,Vague
DR_30468,586,2612,2,Vague
DR_21143,544,2324,2,Normal
DR_72840,601,1825,2,Vague
DR_26522,617,3078,2,Normal
DR_14760,536,2783,2,Normal
DR_37810,632,2632,2,Vague
DR_12694,598,3208,2,Vague
DR_41771,521,2167,2,Vague
DR_51969,550,1327,2,Vague
DR_21911,519,2742,2,Vague
DR_56103,564,2145,2,Normal
DR_58210,1724,23475,5,Normal
DR_39604,559,1724,2,Vague
DR_24208,1715,20267,6,Vague
DR_41977,549,2007,2,Normal
DR_6944,568,3025,2,Vague
DR_75160,466,1621,2,Vague
DR_56144,1720,33554,6,Aggressive
DR_31574,963,1990,3,Vague
DR_56888,566,2274,2,Vague
DR_37594,1689,35184,6,Vague
DR_68721,1694,25556,6,Vague
DR_16589,1977,37472,7,Vague
DR_51079,571,2881,2,Normal
DR_55543,1697,13890,6,Vague
DR_5151,1995,24811,5,Vague
DR_52732,1712,12617,6,Aggressive
DR_14626,2061,26024,6,Vague
DR_37335,1952,27534,6,Vague
DR_47601,1658,8291,4,Normal
DR_59008,1722,20866,6,Vague
DR_60225,1943,27516,6,Normal
DR_20887,1718,20367,6,Vague
DR_45533,486,1210,2,Normal
DR_18656,654,2380,2,Vague
DR_58131,1697,31296,5,Vague
DR_6352,1913,9746,5,Normal
DR_64757,1689,17698,5,Vague
DR_36512,1852,14212,5,Aggressive
DR_6809,1071,9663,2,Vague
DR_54858,1716,26523,6,Aggressive
DR_61456,1779,21245,6,Aggressive
DR_64520,1703,17439,6,Aggressive
DR_68570,692,2431,2,Normal
DR_43587,694,3593,2,Vague
DR_74485,1654,12298,5,Vague
DR_69818,1719,16355,5,Aggressive
DR_4301,1715,29249,6,Aggressive
DR_72482,723,3125,2,Vague
DR_51140,663,2590,2,Vague
DR_57198,589,2471,2,Vague
DR_28638,626,2007,2,Vague
DR_35348,845,4710,2,Normal
DR_69559,1709,14253,5,Aggressive
DR_39827,670,2984,2,Normal
DR_28250,625,2312,2,Normal
DR_32447,554,1715,2,Normal
DR_24159,800,3157,2,Normal
DR_25152,1490,14929,3,Aggressive
DR_25024,555,2692,2,Normal
DR_72286,560,1565,2,Vague
DR_61401,600,4700,2,Vague
DR_43113,567,1719,2,Normal
DR_19532,546,2532,2,Vague
DR_35768,540,3549,2,Vague
DR_57567,561,1773,2,Vague
DR_15456,537,1218,2,Normal
DR_55765,606,1822,2,Normal
DR_73864,577,1753,2,Aggressive
DR_45041,518,1734,2,Vague
DR_44972,569,1410,2,Vague
DR_40437,538,2458,2,Normal
DR_36114,550,3578,2,Vague
DR_58486,556,2751,2,Vague
DR_46746,563,1625,2,Vague
DR_48417,561,2241,2,Normal
DR_45968,522,1724,2,Aggressive
DR_6281,574,2921,2,Vague
DR_45268,501,1269,2,Vague
DR_28463,553,2341,2,Aggressive
DR_63023,590,2408,2,Vague
DR_17288,574,2501,2,Aggressive
DR_56054,969,22591,4,Normal
DR_69714,544,1652,2,Normal
DR_32872,1930,25551,5,Aggressive
DR_31743,1227,15958,2,Aggressive
DR_58272,570,1523,2,Vague
DR_11124,1448,16313,6,Aggressive
